,page,country,rev_id,ores_score,FIPS,Name,Type,TimeFrame,Data (M),Population
1317,Vladimír Hučín,Czech Republic,707597623,"{""B"": 0.05348534629844271, ""C"": 0.14473250958294928, ""FA"": 0.00515204211776239, ""GA"": 0.006934383183554403, ""Start"": 0.7597979475581188, ""Stub"": 0.029897771259172378}",,,,,,
1334,Tuiloma Pule Lameko,Samoan,707750982,"{""B"": 0.007208226541151961, ""C"": 0.008818069646084585, ""FA"": 0.0012576112278518778, ""GA"": 0.0022564951603952768, ""Start"": 0.030757630871949333, ""Stub"": 0.949701966552567}",,,,,,
1341,Juan Ramón Salgado,Hondura,707824636,"{""B"": 0.0063132610159364454, ""C"": 0.0063643979941952825, ""FA"": 0.0012214360111031692, ""GA"": 0.001757982088191243, ""Start"": 0.014665266981754917, ""Stub"": 0.9696776559088189}",,,,,,
1365,André-Philippe Futa,"Congo, Dem. Rep. of",708009445,"{""B"": 0.050463446609153334, ""C"": 0.03698268965808564, ""FA"": 0.004740697824624753, ""GA"": 0.006958810875166388, ""Start"": 0.7508068650695533, ""Stub"": 0.1500474899634165}",,,,,,
1380,Juan José Cañas,Salvadoran,708089470,"{""B"": 0.008057347371439866, ""C"": 0.008813497759152996, ""FA"": 0.0015436617838130242, ""GA"": 0.002472129797611702, ""Start"": 0.04178581276862516, ""Stub"": 0.9373275505193572}",,,,,,
1412,Gérard Gifuza,"Congo, Dem. Rep. of",708358969,"{""B"": 0.01762485353546629, ""C"": 0.015831384400287436, ""FA"": 0.0022916905090322555, ""GA"": 0.0036737888694312313, ""Start"": 0.16492058655601277, ""Stub"": 0.7956576961297701}",,,,,,
1413,Koloso Sumaili,"Congo, Dem. Rep. of",708359204,"{""B"": 0.004523962179979038, ""C"": 0.0064630907695503795, ""FA"": 0.0009750955975835509, ""GA"": 0.001997440164152597, ""Start"": 0.01020354091455235, ""Stub"": 0.975836870374182}",,,,,,
1499,Tuo Fozié,Ivorian,708711840,"{""B"": 0.030190720369890994, ""C"": 0.020756350208005467, ""FA"": 0.0036008341956844593, ""GA"": 0.005565397824770972, ""Start"": 0.5735625269211075, ""Stub"": 0.36632417048054056}",,,,,,
1500,Terry Le Main,Jersey,708727189,"{""B"": 0.08584107222998712, ""C"": 0.3054665523042688, ""FA"": 0.00469738661737475, ""GA"": 0.020934160121654773, ""Start"": 0.5628576866861014, ""Stub"": 0.020203142040613246}",,,,,,
1501,Paul Routier,Jersey,708727221,"{""B"": 0.04996679122578445, ""C"": 0.12546098813281747, ""FA"": 0.004421767918464367, ""GA"": 0.010800119286417838, ""Start"": 0.7323770684686746, ""Stub"": 0.07697326496784132}",,,,,,
1511,Mike Vibert,Jersey,708766654,"{""B"": 0.039650094292541384, ""C"": 0.15477617816174016, ""FA"": 0.005355456820387296, ""GA"": 0.010288134615281462, ""Start"": 0.7300478665570618, ""Stub"": 0.05988226955298796}",,,,,,
1544,Lee Moore (politician),Saint Kitts and Nevis,709078753,"{""B"": 0.00950524758011751, ""C"": 0.013588518038084542, ""FA"": 0.001666033658767413, ""GA"": 0.0034043716479538167, ""Start"": 0.060095543084011424, ""Stub"": 0.9117402859910653}",,,,,,
1545,Joseph Parry (politician),Saint Kitts and Nevis,709078817,"{""B"": 0.061919424408813366, ""C"": 0.14579977007267983, ""FA"": 0.0050931113199676956, ""GA"": 0.0203570488397887, ""Start"": 0.6232373725218904, ""Stub"": 0.14359327283685996}",,,,,,
1636,Pavla Topolánková,Czech Republic,709676840,"{""B"": 0.02775181485962696, ""C"": 0.0711623787618228, ""FA"": 0.0039379197006426045, ""GA"": 0.009338590926173798, ""Start"": 0.6243245197547006, ""Stub"": 0.2634847759970332}",,,,,,
1677,Harold Dalson,Saint Lucian,709912281,"{""B"": 0.007470436935404287, ""C"": 0.014133284461036687, ""FA"": 0.001607631503190424, ""GA"": 0.0034979801097447484, ""Start"": 0.04503797437363089, ""Stub"": 0.9282526926169931}",,,,,,
1678,Keith Mondesir,Saint Lucian,709912316,"{""B"": 0.4272986170489576, ""C"": 0.4297085401913212, ""FA"": 0.019502815378005325, ""GA"": 0.04388066364556623, ""Start"": 0.06705425516786218, ""Stub"": 0.01255510856828752}",,,,,,
1679,Rufus Bousquet,Saint Lucian,709914459,"{""B"": 0.03971193196632957, ""C"": 0.07327028665531654, ""FA"": 0.0033667418782389507, ""GA"": 0.0061018294489885334, ""Start"": 0.8278312132094631, ""Stub"": 0.04971799684166342}",,,,,,
1755,Sean Power (Jersey),Jersey,710334019,"{""B"": 0.021415643785571647, ""C"": 0.054069057776258915, ""FA"": 0.0030114370503757505, ""GA"": 0.008341427931034666, ""Start"": 0.268728060345854, ""Stub"": 0.644434373110905}",,,,,,
1779,Robert James Dugu Gordon,Saint Kitts and Nevis,710428915,"{""B"": 0.006157349915279991, ""C"": 0.006034290996444271, ""FA"": 0.0011359529681556986, ""GA"": 0.0016560115877193385, ""Start"": 0.011453584030614762, ""Stub"": 0.973562810501786}",,,,,,
1786,Leonard Norman,Jersey,710503170,"{""B"": 0.039777081287423244, ""C"": 0.09112781407113256, ""FA"": 0.005064623144923305, ""GA"": 0.011602009369759787, ""Start"": 0.7336720878553555, ""Stub"": 0.11875638427140549}",,,,,,
1801,José Gregorio Salazar,Salvadoran,710543364,"{""B"": 0.047965499368859285, ""C"": 0.05674681620732848, ""FA"": 0.004408025426873493, ""GA"": 0.00720069896210274, ""Start"": 0.7193726090649312, ""Stub"": 0.1643063509699048}",,,,,,
