,page,country,rev_id,ores_score
40576,Than Htay,Myanmar,802937732,
40994,Anatoliy Peshko,Ukraine,803413615,
41078,Kevin Hardwick,United States,803484030,
41386,David Sparrow,Canada,803784385,
41721,Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,
41815,João Victor Guedes,Brazil,804118645,
41879,Kampa Borgoyary,India,804158476,
42256,Lucia Lucchesi-Ghiselli,Italy,804473605,
42510,Lib Peck,United Kingdom,804697858,
42605,Dudley–Winthrop family,United States,804791599,
42838,Larry A. Kaczala,United States,804941978,
42851,William M. Rainach,United States,804945338,
42864,David J. Dwork,United States,804946658,
43046,Ron Crickenberger,United States,805031334,
43058,Lav Grigorije Pajkić,Serbia,805041930,
43304,Richards–Young family,United States,805211553,
43598,Ian Axton,United Kingdom,805420467,
43769,Dennis Shea (lawyer),United States,805517427,
44015,Kamrul Hasan Nasim,Bangladesh,805697623,
44147,Political positions of Pat Buchanan,United States,805788048,
44392,Hossein Khan Movaghar,Iran,805936041,
44444,Ali Asghar Mousapasandi,Iran,805970954,
44471,Valeriy Panasenko,Moldova,805993160,
44529,Edivaldo Holanda Júnior,Brazil,806030859,
44754,Rajah Alon,Philippines,806179522,
44840,Golam Mohammad Rabbani,Bangladesh,806223655,
45099,Mohammed Naguib,Egypt,806372496,
45148,Phillip Jackson,United States,806403304,
45369,Valeriu Turea,Moldova,806542084,
45628,Rajah Gambang,Philippines,806695084,
45655,Claudia Cruz Santiago,Mexico,806708318,
45837,Olajide Awosedo,Nigeria,806811023,
46160,William McMahon,Australia,807000274,
46416,Dirtbag Left,United States,807161510,
46509,Guy Georgias,Zimbabwe,807196681,
46782,John Rose (Trotskyist),United Kingdom,807336308,
46862,Jalal Movaghar,Iran,807367030,
46863,Mohsen Movaghar,Iran,807367166,
47182,King Gutierrez,Philippines,807479587,
47196,Ajay Kannoujiya,India,807484325,
